EMPRESA (SIGLA);EMPRESA (NOME);EMPRESA (NACIONALIDADE);ANO;MÊS;AEROPORTO DE ORIGEM (SIGLA);AEROPORTO DE ORIGEM (NOME);AEROPORTO DE ORIGEM (UF);AEROPORTO DE ORIGEM (REGIÃO);AEROPORTO DE ORIGEM (PAÍS);AEROPORTO DE ORIGEM (CONTINENTE);AEROPORTO DE DESTINO (SIGLA);AEROPORTO DE DESTINO (NOME);AEROPORTO DE DESTINO (UF);AEROPORTO DE DESTINO (REGIÃO);AEROPORTO DE DESTINO (PAÍS);AEROPORTO DE DESTINO (CONTINENTE);NATUREZA;GRUPO DE VOO;PASSAGEIROS PAGOS;PASSAGEIROS GRÁTIS;CARGA PAGA (KG);CARGA GRÁTIS (KG);CORREIO (KG);ASK;RPK;ATK;RTK;COMBUSTÍVEL (LITROS);DISTÂNCIA VOADA (KM);DECOLAGENS;CARGA PAGA KM;CARGA GRATIS KM;CORREIO KM;ASSENTOS;PAYLOAD;HORAS VOADAS;BAGAGEM (KG)
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2022;1;KDFW;DALLAS & FORT WORTH, TEXAS;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;4966;317;197935;0;2101;69513400;40939700;11500400;5333660;0;255564;31;1631780000;0;17320600;8432;1395000;311,267;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2022;1;KJFK;NEW YORK, NEW YORK;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;2218;74;21317;0;5;25212000;17142900;4173660;1707650;0;92748;12;164759000;0;38645;3262;540000;112,417;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2022;1;KJFK;NEW YORK, NEW YORK;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;6327;222;309466;0;3327;69650400;48490100;12569000;6761340;0;229920;30;2371750000;0;25498100;9088;1640000;280,084;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2022;1;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;5353;196;132005;462;16764;45581600;35956100;8765680;4235320;0;194793;29;886678000;3103250;112604000;6786;1305000;238,6;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2022;1;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;17724;432;402988;0;4577;152714000;116518000;28662600;13165900;0;591660;90;2649240000;0;30089200;23230;4360000;728,928;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2022;1;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;KJFK;NEW YORK, NEW YORK;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;2490;72;39279;0;1280;23125200;19245200;3825860;2045540;0;85019;11;303587000;0;9893120;2992;495000;108,567;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2022;1;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;6637;274;137526;0;18030;52123900;44580700;10041900;5057120;0;221661;33;923762000;0;121108000;7760;1495000;283,432;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2022;1;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;KDFW;DALLAS & FORT WORTH, TEXAS;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;6501;250;222918;0;4057;65028700;53594200;10758400;6694650;0;239076;29;1837740000;0;33445900;7888;1305000;301,066;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2022;1;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;KFDW;WINNSBORO, SOUTH CAROLINA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;233;12;9334;0;202;2010350;1722100;332595;225469;0;7391;1;68987600;0;1492980;272;45000;10,317;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2022;1;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;KJFK;NEW YORK, NEW YORK;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;7059;202;351350;0;0;69650400;54100200;12569000;7561750;0;229920;30;2692750000;0;0;9088;1640000;292,185;0
