,Date,PASSAGEIROS PAGOS,Latitude,Longitude,destination_airports,metric_yoy,scaled_variable
37,2022-02-01 00:00:00,31784,-10.9869886,-37.0726223,"SBAR,ARACAJU",0.0540208920577019,0.194918798861355
75,2022-02-01 00:00:00,118297,-1.3820615,-48.4775227,"SBBE,BELÉM",0.383946746531271,0.392171112995217
113,2022-02-01 00:00:00,457467,-15.8697369,-47.9172348,"SBBR,BRASÍLIA",0.303777951310712,0.344240706316992
151,2022-02-01 00:00:00,288003,-19.634099,-43.965396,"SBCF,CONFINS",0.282053222460626,0.331252172737387
189,2022-02-01 00:00:00,44068,-20.4686937,-54.6741233,"SBCG,CAMPO GRANDE",0.258222932846048,0.317004790456735
227,2022-02-01 00:00:00,20648,-27.1320134,-52.6604976,"SBCH,CHAPECÓ",0.316836734693878,0.352048143070357
265,2022-02-01 00:00:00,142002,-25.5327132,-49.1724811,"SBCT,SÃO JOSÉ DOS PINHAIS",0.304386166352822,0.344604339002702
303,2022-02-01 00:00:00,90116,-15.6530656,-56.1172634,"SBCY,VÁRZEA GRANDE",0.321465231545297,0.354815376079
341,2022-02-01 00:00:00,104110,-3.0358474,-60.0463249,"SBEG,MANAUS",0.655746047902287,0.554671385248645
379,2022-02-01 00:00:00,45726,-25.597743,-54.4885152,"SBFI,FOZ DO IGUAÇU",0.541568336592273,0.486408114962222
417,2022-02-01 00:00:00,121486,-27.670118,-48.5459657,"SBFL,FLORIANÓPOLIS",0.479966377136453,0.449578236693878
455,2022-02-01 00:00:00,199116,-3.7771555,-38.5330966,"SBFZ,FORTALEZA",0.70775762253956,0.585767473414631
493,2022-02-01 00:00:00,247829,-22.805265,-43.2566293,"SBGL-SBRJ,RIO DE JANEIRO",1.40060637762021,1
531,2022-02-01 00:00:00,82359,-16.6323026,-49.2163451,"SBGO,GOIÂNIA",0.272877610002627,0.325766362012357
569,2022-02-01 00:00:00,1136533,-23.6273246,-46.6565842,"SBGR-SBSP,SÃO PAULO",0.44113212762747,0.426360457670403
606,2022-02-01 00:00:00,25761,-14.815408,-39.0326475,"SBIL,ILHÉUS",0.25651155984782,0.315981614250113
644,2022-02-01 00:00:00,40414,-7.1460091,-34.9487764,"SBJP,SANTA RITA",0.066951792597286,0.202649778475965
682,2022-02-01 00:00:00,19006,-7.2150158,-39.2722244,"SBJU,JUAZEIRO DO NORTE",0.470369797307752,0.443840742789371
718,2022-02-01 00:00:00,6113,-26.2253962,-48.8026583,"SBJV-SBNF,JOINVILLE - NAVEGANTES",-0.27200190544242,0
756,2022-02-01 00:00:00,378657,-23.008205,-47.1375685,"SBKP,CAMPINAS",0.109347763034925,0.227996998663114
793,2022-02-01 00:00:00,21852,-23.3322334,-51.1315298,"SBLO,LONDRINA",0.601700505753866,0.522359251740936
831,2022-02-01 00:00:00,17236,-23.4795014,-52.0121641,"SBMG,MARINGÁ",0.0352573728151842,0.183700679572743
869,2022-02-01 00:00:00,85293,-9.5118606,-35.7931828,"SBMO,RIO LARGO",0.288160935163789,0.334903782480691
907,2022-02-01 00:00:00,21781,0.0501312,-51.0670495,"SBMQ,MACAPÁ",0.392201981463726,0.39710665888247
945,2022-02-01 00:00:00,63566,-26.2253962,-48.8026583,"SBJV-SBNF,JOINVILLE - NAVEGANTES",0.319344126193441,0.353547233757014
983,2022-02-01 00:00:00,204025,-29.9934732,-51.1753811,"SBPA,PORTO ALEGRE",0.315577364525031,0.351295205169954
1021,2022-02-01 00:00:00,16534,-10.2956593,-48.3581083,"SBPJ,PALMAS",0.165433143018256,0.261528687194894
1058,2022-02-01 00:00:00,73370,-16.4409312,-39.079934,"SBPS,PORTO SEGURO",0.517822048449492,0.472210954525291
1096,2022-02-01 00:00:00,28250,-8.7141715,-63.8983737,"SBPV,PORTO VELHO",0.259024868526607,0.317484242632525
1134,2022-02-01 00:00:00,301441,-8.1259315,-34.9240154,"SBRF,RECIFE",0.17619906041735,0.267965291334736
1172,2022-02-01 00:00:00,296090,-22.805265,-43.2566293,"SBGL-SBRJ,RIO DE JANEIRO",0.151886029068501,0.253429292921329
1210,2022-02-01 00:00:00,15107,-21.1391642,-47.7765708,"SBRP,RIBEIRÃO PRETO",0.0548107806172322,0.195391048441564
1248,2022-02-01 00:00:00,81501,-5.7925769,-35.3288239,"SBSG,SÃO GONÇALO DO AMARANTE",0.397743058532988,0.400419494963322
1286,2022-02-01 00:00:00,41485,-2.5836385,-44.2362142,"SBSL,SÃO LUÍS",0.219358062430192,0.293768704154034
1324,2022-02-01 00:00:00,14367,-2.4248295,-54.7862433,"SBSN,SANTARÉM",0.674475524475525,0.565869151493676
1362,2022-02-01 00:00:00,504987,-23.6273246,-46.6565842,"SBGR-SBSP,SÃO PAULO",0.55595576658214,0.495009907824041
1399,2022-02-01 00:00:00,18969,-20.8121579,-49.4063814,"SBSR,SÃO JOSÉ DO RIO PRETO",0.48068066505347,0.450005287022548
1437,2022-02-01 00:00:00,244003,-12.9110042,-38.3314257,"SBSV,SALVADOR",0.239487346208942,0.305803371196273
1475,2022-02-01 00:00:00,31427,-5.0602518,-42.8236452,"SBTE,TERESINA",0.176732691803647,0.268284332793337
1513,2022-02-01 00:00:00,23394,-18.8898008,-48.2306001,"SBUL,UBERLÂNDIA",0.0952759960672316,0.219583930815616
1551,2022-02-01 00:00:00,78588,-20.2576489,-40.2835346,"SBVT,VITÓRIA",0.184571092654839,0.272970666665151
