,sub_region_1,sub_region_2,Latitude,Longitude,date,NM_MUN,metric,metric_7,metric_28,metric_84,scaled_variable
23554,State of Rio de Janeiro,Angra dos Reis,-23.0069216,-44.3185172,2022-02-27,Angra dos Reis,2030,0.685690653432589,0.24775517683709,0.238945186549977,0.124077056766127
38052,State of São Paulo,Aparecida,-22.842592,-45.2303876,2022-02-27,Aparecida,1735,0.791770573566085,0.927946834557538,0.535914650970293,0.688291803709182
44748,State of Sergipe,Aracaju,-10.9266526,-37.0729014,2022-02-27,Aracaju,745,0.0788423153692615,0.109344422700587,0.11541057367829,0.00926619760175284
24298,State of Rio de Janeiro,Armação dos Búzios,-22.7553281,-41.8833455,2022-02-27,Armação dos Búzios,1050,0.49702380952381,0.164292812189467,0.42042328042328,0.0548455447144433
33203,State of Santa Catarina,Balneário Camboriú,-26.9979839,-48.63258,2022-02-27,Balneário Camboriú,1025,0.426630434782609,0.288438256658596,0.415411951744132,0.157823418289115
13889,State of Minas Gerais,Belo Horizonte,-19.919052,-43.9386685,2022-02-27,Belo Horizonte,900,0.36965811965812,0.394009216589862,0.337974917004795,0.245393872536931
16121,State of Pará,Belém,-1.4563432,-48.501299,2022-02-27,Belém,1230,0.241653418124006,0.273119122257053,0.0873647449476154,0.145116291640842
32459,State of Roraima,Boa Vista,2.8206339,-60.6737553,2022-02-27,Boa Vista,1150,0.769461077844311,0.932120901639344,0.660541166256692,0.691754166376459
33947,State of Santa Catarina,Bombinhas,-27.152687,-48.5013809,2022-02-27,Bombinhas,1065,0.555555555555556,0.571532580997452,0.613590142361527,0.392648398505954
25042,State of Rio de Janeiro,Cabo Frio,-22.8834591,-42.0252951,2022-02-27,Cabo Frio,1420,0.580602883355177,0.0981735159817352,0.198081410422608,0
10169,State of Goiás,Caldas Novas,-17.7445191,-48.6250248,2022-02-27,Caldas Novas,1465,0.429885057471264,0.175457195865359,0.160631656261476,0.064106331492657
38796,State of São Paulo,Campinas,-22.9099384,-47.0626332,2022-02-27,Campinas,785,0.176728869374314,0.177783979905107,0.118839285714286,0.0660363843730135
13145,State of Mato Grosso do Sul,Campo Grande,-20.4648517,-54.6218477,2022-02-27,Campo Grande,1000,0.202247191011236,0.235807860262009,0.229162148485506,0.114166832020577
39540,State of São Paulo,Campos do Jordão,-22.7408457,-45.594391,2022-02-27,Campos do Jordão,1555,0.575155279503105,0.476397723468363,0.285737256793697,0.313734626252224
12401,State of Mato Grosso,Cuiabá,-15.5954142,-56.0925824,2022-02-27,Cuiabá,920,0.318575553416747,0.354176844162189,0.279278557114228,0.212353167502796
17609,State of Paraná,Curitiba,-25.4372382,-49.2699727,2022-02-27,Curitiba,1080,0.206463195691203,0.241057188425609,0.264679679274318,0.118521117063373
34691,State of Santa Catarina,Florianópolis,-27.5948036,-48.5569286,2022-02-27,Florianópolis,900,0.423529411764706,0.30730403800475,0.382037129954842,0.173472466505579
7962,State of Ceará,Fortaleza,-3.7327177,-38.5269947,2022-02-27,Fortaleza,895,0.742323097463284,0.637694145758662,0.400278818506578,0.447529004722451
18353,State of Paraná,Foz do Iguaçu,-25.5163356,-54.5853764,2022-02-27,Foz do Iguaçu,1025,0.512605042016807,0.446691806650669,0.532987643424537,0.289093753125116
10913,State of Goiás,Goiânia,-16.6868912,-49.2647943,2022-02-27,Goiânia,855,0.177330895795247,0.173982260632249,0.107297662190009,0.0628828818959722
30227,State of Rio Grande do Sul,Gramado,-29.3745686,-50.876435,2022-02-27,Gramado,1235,0.720125786163522,0.22167200699097,0.290213049267643,0.102441229705969
40284,State of São Paulo,Guarujá,-23.9947975,-46.2568564,2022-02-27,Guarujá,1435,0.444570135746606,0.219438325991189,0.207587452783708,0.100588405217845
41028,State of São Paulo,Ilhabela,-23.8165908,-45.3667925,2022-02-27,Ilhabela,1370,0.528967254408061,0.284443080699601,0.241604092746926,0.154509444694891
5730,State of Bahia,Ilhéus,-14.7981287,-39.0346984,2022-02-27,Ilhéus,1445,1.07964601769912,0.759483232545355,0.585371683531193,0.548552294264207
